Tm,Season,W,L,earned_runs,earned_runs_allowed,hits,hits_allowed,home_runs,home_runs_allowed,runs,runs_allowed,strikeouts,strikeouts_allowed,walks,walks_allowed
Houston Astros,2016,84,78,724,663,1367,1441,198,181,724,701,1452,1396,523,434
Los Angeles Angels,2016,74,88,717,676,1410,1480,156,208,717,727,991,1136,450,471
Oakland Athletics,2016,69,93,653,719,1352,1459,169,185,653,761,1145,1188,423,436
Washington Nationals,2016,95,67,763,571,1403,1272,203,155,763,612,1252,1476,487,425
New York Mets,2016,87,75,671,575,1342,1397,218,152,671,617,1302,1396,474,400
Miami Marlins,2016,79,82,655,646,1460,1358,128,152,655,682,1213,1379,407,533
Philadelphia Phillies,2016,71,91,610,741,1305,1468,161,213,610,796,1376,1299,391,436
Atlanta Braves,2016,68,93,649,725,1404,1414,122,177,649,779,1240,1227,442,492
Chicago Cubs,2016,103,58,808,511,1409,1125,199,163,808,556,1339,1441,611,471
St. Louis Cardinals,2016,86,76,779,656,1415,1432,225,159,779,712,1318,1290,498,440
Pittsburgh Pirates,2016,78,83,729,681,1426,1490,153,180,729,758,1334,1232,522,505
Milwaukee Brewers,2016,73,89,671,653,1299,1450,194,178,671,733,1543,1175,565,499
Cincinnati Reds,2016,68,94,716,787,1403,1457,164,258,716,854,1284,1241,415,605
Los Angeles Dodgers,2016,91,71,725,598,1376,1266,189,165,725,638,1321,1510,494,413
San Francisco Giants,2016,87,75,715,599,1437,1334,130,158,715,631,1107,1309,529,409
Colorado Rockies,2016,75,87,845,781,1544,1532,204,181,845,860,1330,1223,459,509
Arizona Diamondbacks,2016,69,93,752,821,1479,1563,190,202,752,890,1427,1318,420,546
San Diego Padres,2016,68,94,686,711,1275,1425,177,183,686,770,1500,1222,419,525
Toronto Blue Jays,2015,93,69,891,610,1480,1353,232,173,891,670,1151,1117,558,377
New York Yankees,2015,87,75,764,653,1397,1416,212,182,764,698,1227,1370,531,458
Baltimore Orioles,2015,81,81,713,646,1370,1406,217,174,713,693,1331,1233,395,456
Tampa Bay Rays,2015,80,82,644,604,1383,1314,167,175,644,642,1310,1355,414,454
Boston Red Sox,2015,78,84,748,698,1495,1486,161,178,748,753,1148,1218,450,461
Kansas City Royals,2015,95,67,724,603,1497,1372,139,155,724,641,973,1160,355,479
Minnesota Twins,2015,83,79,696,653,1349,1506,156,163,696,700,1264,1046,408,379
Cleveland Indians,2015,81,80,669,586,1395,1274,141,161,669,640,1157,1407,499,398
Chicago White Sox,2015,76,86,622,643,1381,1443,136,162,622,701,1231,1359,382,440
Detroit Tigers,2015,74,87,689,746,1515,1491,151,193,689,803,1259,1100,419,457
Texas Rangers,2015,88,74,751,682,1419,1459,172,171,751,733,1233,1095,471,479
Houston Astros,2015,86,76,729,572,1363,1308,230,148,729,618,1392,1280,464,406
Los Angeles Angels,2015,85,77,661,631,1331,1355,176,166,661,675,1150,1221,401,421
Seattle Mariners,2015,76,86,656,677,1379,1430,198,181,656,726,1336,1283,447,450
Oakland Athletics,2015,68,94,694,668,1405,1402,146,172,694,729,1119,1179,454,455
New York Mets,2015,90,72,683,561,1351,1341,177,152,683,613,1290,1337,446,340
Washington Nationals,2015,83,79,703,577,1363,1366,177,145,703,635,1344,1342,501,327
Miami Marlins,2015,71,91,613,640,1420,1374,120,141,613,678,1150,1152,345,483
Atlanta Braves,2015,67,95,573,699,1361,1462,100,170,573,760,1107,1148,432,505
Philadelphia Phillies,2015,63,99,626,749,1374,1592,130,191,626,809,1274,1153,367,451
St. Louis Cardinals,2015,100,62,647,478,1386,1359,137,123,647,525,1267,1329,459,440
Pittsburgh Pirates,2015,98,64,697,534,1462,1392,140,110,697,596,1322,1338,415,415
Chicago Cubs,2015,97,65,689,546,1341,1276,171,134,689,608,1518,1431,520,369
Milwaukee Brewers,2015,68,94,655,682,1378,1432,145,176,655,737,1299,1260,377,481
Cincinnati Reds,2015,64,98,640,702,1382,1436,167,177,640,754,1255,1252,458,502
Los Angeles Dodgers,2015,92,70,667,555,1346,1317,187,145,667,595,1258,1396,532,363
San Francisco Giants,2015,84,78,696,599,1486,1344,136,155,696,627,1159,1165,427,403
Arizona Diamondbacks,2015,79,83,720,660,1494,1450,154,182,720,713,1312,1215,450,455
San Diego Padres,2015,74,88,650,655,1324,1371,148,171,650,731,1327,1393,404,481
Colorado Rockies,2015,68,94,737,799,1479,1579,186,183,737,844,1283,1112,341,537
Baltimore Orioles,2014,96,66,705,558,1434,1342,211,151,705,593,1285,1174,372,447
New York Yankees,2014,84,78,633,605,1349,1392,147,164,633,664,1133,1370,436,375
Toronto Blue Jays,2014,83,79,723,642,1435,1400,177,151,723,686,1151,1199,475,467
Tampa Bay Rays,2014,77,85,612,579,1361,1292,117,145,612,625,1124,1437,496,455
Boston Red Sox,2014,71,91,634,653,1355,1458,123,154,634,715,1337,1213,499,463
Detroit Tigers,2014,90,72,757,648,1557,1475,155,127,757,705,1144,1244,392,428
Kansas City Royals,2014,89,73,652,565,1456,1386,95,128,651,624,985,1168,358,426
Cleveland Indians,2014,85,77,669,583,1411,1398,142,135,669,653,1189,1450,480,413
Chicago White Sox,2014,73,89,660,688,1400,1468,155,140,660,758,1362,1152,384,515
Minnesota Twins,2014,70,92,715,730,1412,1588,128,147,715,777,1329,1031,515,384
