,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,Faceoffs Won,Faceoffs Lost,Faceoffs %
403,Nikita Kucherov,T.B,R,69,1359.766667,33,77,50,27,110,85.27,206,16.02,0,3,0
165,Patrick Kane,CHI,R,67,1513.016667,40,57,34,23,97,78.86,287,13.94,1,1,50
677,Connor McDavid,EDM,C,64,1466.716667,33,63,47,16,96,82.76,202,16.34,357,403,46.97
78,Sidney Crosby,PIT,C,65,1352.316667,31,56,42,14,87,73.11,189,16.4,808,663,54.93
566,Nathan MacKinnon,COL,C,69,1516.433333,35,52,30,22,87,70.73,297,11.78,448,572,43.92
605,Leon Draisaitl,EDM,C,68,1525.216667,41,45,27,18,86,74.78,190,21.58,581,574,50.3
687,Mikko Rantanen,COL,R,69,1441.233333,30,56,34,22,86,74.78,180,16.67,15,23,39.47
368,Johnny Gaudreau,CGY,L,68,1372.833333,30,54,33,21,84,73.68,205,14.63,1,2,33.33
59,Blake Wheeler,WPG,R,67,1410.433333,19,64,46,18,83,76.15,194,9.79,27,54,33.33
643,Brayden Point,T.B,C,67,1257.216667,37,45,25,20,82,68.33,168,22.02,357,344,50.93
714,Mitchell Marner,TOR,"C, R",68,1336.2,24,58,45,13,82,71.3,196,12.24,4,4,50
107,Brad Marchand,BOS,L,67,1327.45,28,53,30,23,81,70.43,193,14.51,40,57,41.24
184,Steven Stamkos,T.B,C,69,1257.65,34,45,29,16,79,74.53,199,17.09,416,373,52.72
56,Alex Ovechkin,WSH,L,67,1395.683333,46,31,21,10,77,65.81,272,16.91,1,4,20
690,Sebastian Aho,CAR,"C, R",68,1361.3,30,47,27,20,77,72.64,208,14.42,468,498,48.45
236,John Tavares,TOR,C,68,1296.85,38,38,22,16,76,67.26,238,15.97,696,579,54.59
410,Mark Scheifele,WPG,C,67,1489.1,32,43,25,18,75,64.1,166,19.28,668,786,45.94
567,Aleksander Barkov,FLA,C,68,1542.716667,29,46,29,17,75,65.79,174,16.67,889,760,53.91
39,Brent Burns,S.J,D,68,1692.4,13,60,34,26,73,59.84,250,5.2,0,1,0
119,Claude Giroux,PHI,C,68,1445.666667,20,53,31,22,73,70.19,191,10.47,584,403,59.17
726,Artemi Panarin,CBJ,L,65,1308.733333,25,48,34,14,73,74.49,169,14.79,1,1,50
406,Jonathan Huberdeau,FLA,L,68,1284.566667,21,51,30,21,72,75.79,184,11.41,10,7,58.82
570,Elias Lindholm,CGY,C,68,1380.816667,26,46,25,21,72,63.16,165,15.76,440,378,53.79
571,Sean Monahan,CGY,C,68,1325.866667,30,42,24,18,72,66.67,191,15.71,410,402,50.49
678,Jack Eichel,BUF,C,65,1323.483333,25,47,28,19,72,72,259,9.65,512,551,48.17
131,Jonathan Toews,CHI,C,68,1427.483333,29,40,26,14,69,63.3,188,15.43,865,683,55.88
405,Gabriel Landeskog,COL,L,68,1434.316667,33,36,18,18,69,60.53,230,14.35,337,314,51.77
57,Evgeni Malkin,PIT,C,62,1165.45,21,47,29,18,68,80.95,171,12.28,341,421,44.75
124,Phil Kessel,PIT,R,68,1229.383333,22,46,25,21,68,80,176,12.5,4,5,44.44
232,Ryan O'Reilly,STL,C,68,1424.516667,26,40,22,18,66,70.97,187,13.9,915,692,56.94
349,Mark Stone,"OTT, VGK",R,65,1321.683333,29,37,25,12,66,66.67,165,17.58,26,33,44.07
626,David Pastrnak,BOS,R,56,1065.6,31,35,21,14,66,73.33,206,15.05,1,2,33.33
765,Alex DeBrincat,CHI,"L, R",68,1197.916667,37,29,15,14,66,68.04,191,19.37,16,18,47.06
409,Mika Zibanejad,NYR,C,68,1395.133333,27,38,20,18,65,76.47,201,13.43,689,698,49.68
441,Morgan Rielly,TOR,D,68,1551.366667,18,47,22,25,65,50,180,10,0,1,0
126,Nicklas Backstrom,WSH,C,67,1341.583333,17,47,28,19,64,66.67,149,11.41,592,612,49.17
411,Sean Couturier,PHI,C,66,1448.366667,28,36,24,12,64,62.75,180,15.56,614,460,57.17
45,Patrice Bergeron,BOS,C,52,975.8833333,25,38,21,17,63,68.48,165,15.15,648,482,57.35
218,Cam Atkinson,CBJ,R,66,1299.2,38,25,10,15,63,69.23,257,14.79,18,45,28.57
458,Teuvo Teravainen,CAR,L,68,1218.716667,18,45,29,16,63,76.83,141,12.77,14,20,41.18
531,Jake Guentzel,PIT,"C, L",68,1299.266667,33,30,15,15,63,67.02,183,18.03,10,20,33.33
755,Matthew Tkachuk,CGY,L,68,1193.766667,26,37,23,14,63,68.48,169,15.38,5,6,45.45
55,Mark Giordano,CGY,D,66,1626.55,14,48,20,28,62,49.6,182,7.69,0,0,-
238,Matt Duchene,"CBJ, OTT",C,59,1127.866667,28,34,22,12,62,69.66,146,19.18,558,443,55.74
328,Tyler Seguin,DAL,C,68,1419,27,35,25,10,62,68.89,267,10.11,548,471,53.78
617,Dylan Larkin,DET,C,65,1420.55,27,35,22,13,62,80.52,247,10.93,754,620,54.88
52,Joe Pavelski,S.J,C,68,1304.216667,36,25,16,9,61,65.59,172,20.93,484,431,52.9
151,Logan Couture,S.J,C,68,1273.033333,23,38,23,15,61,63.54,167,13.77,242,270,47.27
171,Jakub Voracek,PHI,R,66,1228.55,18,43,28,15,61,72.62,178,10.11,10,15,40
457,Tomas Hertl,S.J,C,63,1190.383333,30,31,18,13,61,64.89,142,21.13,485,435,52.72
228,Mike Hoffman,FLA,L,68,1226.283333,31,29,11,18,60,65.93,215,14.42,10,20,33.33
304,Evgeny Kuznetsov,WSH,C,62,1164.916667,17,43,21,22,60,65.22,165,10.3,325,525,38.24
576,Max Domi,MTL,"C, L",69,1203.016667,22,38,23,15,60,77.92,163,13.5,394,488,44.67
758,Auston Matthews,TOR,C,54,989.7333333,30,30,19,11,60,78.95,182,16.48,397,366,52.03
68,David Krejci,BOS,C,68,1204.05,18,41,26,15,59,78.67,120,15,462,482,48.94
198,John Carlson,WSH,D,67,1686.316667,10,49,31,18,59,44.03,151,6.62,0,0,-
317,Vladimir Tarasenko,STL,R,66,1219.466667,28,30,14,16,58,74.36,235,11.91,4,2,66.67
322,Jeff Skinner,BUF,"C, L",68,1267.95,36,22,14,8,58,61.7,222,16.22,128,120,51.61
404,Ryan Nugent-Hopkins,EDM,C,68,1380.733333,22,36,16,20,58,66.67,179,12.29,306,358,46.08
604,Sam Reinhart,BUF,C,68,1284.066667,18,40,28,12,58,66.67,152,11.84,25,46,35.21
822,Elias Pettersson,VAN,C,58,1068.533333,26,32,22,10,58,78.38,119,21.85,227,327,40.97
683,Timo Meier,S.J,R,65,1107.183333,26,31,16,15,57,74.03,215,12.09,11,23,32.35
36,Zach Parise,MIN,L,67,1249.216667,24,31,16,15,55,72.37,212,11.32,7,21,25
61,Alexander Radulov,DAL,R,56,1102.6,21,34,19,15,55,67.9,161,13.04,6,8,42.86
327,Ryan Johansen,NSH,C,68,1342.95,11,44,27,17,55,64.71,123,8.94,701,591,54.26
698,Mathew Barzal,NYI,C,68,1223.4,17,38,17,21,55,85.94,149,11.41,191,272,41.25
93,Keith Yandle,FLA,D,68,1542.016667,9,45,31,14,54,48.65,171,5.26,0,0,-
200,Roman Josi,NSH,D,70,1766.666667,15,39,21,18,54,58.7,241,6.22,0,0,-
784,Pierre-Luc Dubois,CBJ,C,68,1228.983333,23,31,16,15,54,60,144,15.97,394,507,43.73
91,Kris Letang,PIT,D,60,1555.333333,15,38,24,14,53,48.62,188,7.98,0,0,-
167,Evgenii Dadonov,FLA,R,68,1252.6,22,31,17,14,53,54.08,165,13.33,2,3,40
673,Kyle Connor,WPG,L,67,1288.4,26,26,15,11,52,51.49,189,13.76,3,4,42.86
239,Evander Kane,S.J,L,64,1172.133333,27,24,12,12,51,67.11,235,11.49,80,110,42.11
330,Mikael Granlund,"MIN, NSH","C, R",67,1249.733333,16,35,25,10,51,78.46,169,9.47,114,142,44.53
190,Josh Bailey,NYI,R,68,1156.083333,14,36,25,11,50,73.53,103,13.59,132,122,51.97
212,Gustav Nyquist,"DET, S.J","C, R",67,1205.65,17,33,18,15,50,70.42,178,9.55,8,10,44.44
568,Jonathan Drouin,MTL,"C, L",68,1186.3,17,33,26,7,50,69.44,170,10,37,48,43.53
249,Chris Kreider,NYR,L,68,1201.783333,26,23,11,12,49,54.44,179,14.53,16,36,30.77
574,Bo Horvat,VAN,C,69,1448.883333,24,25,11,14,49,60.49,200,12,912,805,53.12
81,Anze Kopitar,L.A,C,67,1495.566667,19,29,22,7,48,63.16,131,14.5,828,675,55.09
231,Kyle Palmieri,N.J,R,65,1205.616667,26,22,15,7,48,61.54,202,12.87,21,58,26.58
253,Tomas Tatar,MTL,L,67,1094.716667,22,26,18,8,48,73.85,170,12.94,10,26,27.78
433,Torey Krug,BOS,D,57,1215.566667,6,42,23,19,48,55.81,134,4.48,0,0,-
495,Erik Gustafsson,CHI,D,65,1446.583333,13,35,22,13,48,53.33,120,10.83,0,0,-
710,Thomas Chabot,OTT,D,61,1467.333333,13,35,11,24,48,46.6,163,7.98,0,0,-
28,Eric Staal,MIN,C,68,1220.65,19,28,16,12,47,61.04,182,10.44,526,506,50.97
254,Tyson Barrie,COL,D,65,1411.65,7,40,25,15,47,52.22,178,3.93,0,0,-
315,Kevin Hayes,"NYR, WPG","C, R",56,1074.083333,16,31,16,15,47,78.33,129,12.4,409,426,48.98
359,Ryan Dzingel,"CBJ, OTT","C, L",64,1100.933333,22,25,17,8,47,66.2,139,15.83,39,55,41.49
428,Jonathan Marchessault,VGK,C,69,1274.316667,20,27,14,13,47,61.84,241,8.3,85,148,36.48
620,Alex Tuch,VGK,R,61,1035.716667,18,29,12,17,47,66.2,145,12.41,38,67,36.19
697,Brock Boeser,VAN,R,56,1078.183333,22,25,13,12,47,62.67,172,12.79,21,28,42.86
139,Jamie Benn,DAL,L,65,1176.233333,25,21,12,9,46,62.16,158,15.82,174,191,47.67
424,Phillip Danault,MTL,C,68,1207.033333,11,35,23,12,46,65.71,107,10.28,727,603,54.66
659,Kevin Labanc,S.J,R,68,932.4333333,12,34,18,16,46,70.77,106,11.32,6,11,35.29
694,Dylan Strome,"ARI, CHI",C,64,1032.816667,17,29,13,16,46,56.79,120,14.17,375,390,49.02
192,Erik Karlsson,S.J,D,52,1275.833333,3,42,21,21,45,48.91,167,1.8,0,1,0
341,Brendan Gallagher,MTL,R,69,1135.666667,30,15,7,8,45,61.64,250,12,19,27,41.3
766,Patrik Laine,WPG,R,67,1144.383333,29,16,13,3,45,55.56,218,13.3,11,18,37.93
8,Justin Williams,CAR,R,68,1169.883333,20,24,14,10,44,60.27,200,10,81,131,38.21
30,Ryan Suter,MIN,D,69,1855.8,7,37,12,25,44,44,116,6.03,1,0,100
240,Brayden Schenn,STL,C,58,1085.6,13,31,22,9,44,65.67,119,10.92,314,353,47.08
310,Brock Nelson,NYI,C,68,1230.05,21,23,10,13,44,70.97,147,14.29,503,534,48.51
331,Nino Niederreiter,"CAR, MIN",R,68,1072.416667,20,24,14,10,44,62.86,153,13.07,34,26,56.67
767,Clayton Keller,ARI,C,68,1256.866667,13,31,18,13,44,68.75,167,7.78,27,50,35.06
