,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,Faceoffs Won,Faceoffs Lost,Faceoffs %
95,Chris Butler,STL,D,13,182.5,1,1,1,0,2,28.57,10,10,0,0,-
96,Tom Pyatt,OTT,L,37,433.4,0,2,1,1,2,33.33,29,0,56,92,37.84
125,Korbinian Holzer,ANA,D,9,138.8833333,0,2,0,2,2,33.33,6,0,0,0,-
133,David Schlemko,MTL,D,18,357.2,0,2,1,1,2,12.5,29,0,0,0,-
221,Luke Witkowski,DET,R,21,179.7,0,2,2,0,2,33.33,9,0,0,0,-
280,Jordan Nolan,STL,C,14,111.1333333,0,2,1,1,2,28.57,17,0,0,1,0
283,Darren Archibald,"OTT, VAN",R,12,88.5,1,1,0,1,2,66.67,10,10,0,1,0
286,Andrew Agozzino,COL,L,6,50.5,1,1,0,1,2,66.67,4,25,9,10,47.37
311,Alex Petrovic,"EDM, FLA",D,35,578.4166667,0,2,0,2,2,18.18,47,0,0,0,-
361,Scott Wilson,BUF,L,8,90.85,0,2,2,0,2,100,15,0,1,1,50
380,Andy Welinski,ANA,D,19,276.4666667,0,2,1,1,2,25,21,0,0,0,-
453,Jordan Schmaltz,STL,D,20,229.7166667,0,2,2,0,2,33.33,11,0,0,0,-
516,Chad Ruhwedel,PIT,D,18,292.9666667,1,1,0,1,2,33.33,22,4.55,0,0,-
519,Tyler Lewington,WSH,D,2,27.58333333,1,1,0,1,2,66.67,3,33.33,0,0,-
526,Jonny Brodzinski,L.A,L,7,78.88333333,1,1,1,0,2,66.67,11,9.09,1,1,50
538,Nick Paul,OTT,L,20,169.4833333,1,1,0,1,2,50,30,3.33,16,19,45.71
629,Joshua Ho-Sang,NYI,R,10,145.2333333,1,1,1,0,2,33.33,10,10,0,1,0
668,Danick Martel,T.B,L,8,78.26666667,0,2,2,0,2,50,15,0,1,1,50
688,A.J. Greer,COL,L,15,94.01666667,1,1,1,0,2,100,9,11.11,2,3,40
733,Mikhail Vorobyev,PHI,C,15,140,1,1,0,1,2,33.33,10,10,25,46,35.21
747,Philippe Myers,PHI,D,9,144.5833333,1,1,0,1,2,33.33,11,9.09,0,0,-
776,Max Jones,ANA,L,17,231.5333333,1,1,0,1,2,22.22,32,3.13,1,2,33.33
813,Juuso Valimaki,CGY,D,22,331.9833333,1,1,0,1,2,22.22,23,4.35,0,0,-
814,Kailer Yamamoto,EDM,R,17,222.0333333,1,1,1,0,2,40,13,7.69,0,0,-
821,Eeli Tolvanen,NSH,R,4,53.08333333,1,1,0,1,2,66.67,2,50,0,0,-
828,Martin Necas,CAR,C,7,70.16666667,1,1,0,1,2,100,6,16.67,16,28,36.36
832,C.J. Smith,BUF,L,11,117.2,2,0,0,0,2,66.67,18,11.11,0,0,-
852,Isac Lundestrom,ANA,C,15,195.4333333,0,2,1,1,2,33.33,13,0,21,43,32.81
853,Filip Zadina,DET,R,6,90.66666667,1,1,0,1,2,66.67,14,7.14,3,2,60
857,Karson Kuhlman,BOS,C,5,60.41666667,1,1,0,1,2,100,4,25,1,0,100
18,Tomas Plekanec,MTL,C,3,32.63333333,1,0,0,0,1,50,8,12.5,19,19,50
69,Andrej Sekera,EDM,D,10,156.8333333,0,1,0,1,1,14.29,10,0,0,0,-
74,Matt Hunwick,BUF,D,11,167.65,0,1,1,0,1,50,8,0,0,0,-
76,Cody McLeod,"NSH, NYR",L,37,243.2,1,0,0,0,1,25,22,4.55,0,1,0
116,Matt Beleskey,NYR,L,4,29.48333333,1,0,0,0,1,100,3,33.33,1,0,100
130,Erik Condra,DAL,R,6,76.1,1,0,0,0,1,100,10,10,0,1,0
137,Karl Alzner,MTL,D,9,155.7,0,1,1,0,1,25,8,0,0,0,-
182,Jason Garrison,EDM,D,17,215.8333333,1,0,0,0,1,14.29,16,6.25,0,0,-
187,Luke Schenn,"ANA, VAN",D,15,187.0666667,0,1,0,1,1,33.33,16,0,0,0,-
193,Luca Sbisa,NYI,D,9,139.2166667,0,1,0,1,1,25,5,0,0,0,-
202,Zac Dalpe,CBJ,C,1,9.016666667,0,1,1,0,1,100,1,0,0,1,0
209,Matt Donovan,NSH,D,2,14.78333333,0,1,0,1,1,100,1,0,0,0,-
220,Mark Barberio,COL,D,12,182.7,1,0,0,0,1,20,11,9.09,0,0,-
223,Matt Bartkowski,MIN,D,2,21.4,1,0,0,0,1,50,2,50,0,0,-
224,Dalton Prout,CGY,D,15,186.9333333,0,1,1,0,1,14.29,11,0,0,0,-
257,Stefan Elliott,OTT,D,3,26.95,0,1,0,1,1,50,3,0,0,0,-
272,Wade Megan,DET,C,11,86.65,0,1,1,0,1,50,16,0,28,23,54.9
282,Justin Dowling,DAL,C,6,75.66666667,0,1,1,0,1,33.33,5,0,12,14,46.15
345,Brandon Davidson,CHI,D,10,137.9333333,0,1,0,1,1,33.33,7,0,0,0,-
353,Matt Read,MIN,R,7,84.48333333,1,0,0,0,1,20,8,12.5,2,2,50
364,Max McCormick,OTT,L,14,105,1,0,0,0,1,100,12,8.33,0,1,0
